Actual,Predicted
158.27999877929688,158.99044209758193
155.3300018310547,154.81319225336466
305.4100036621094,306.17950738768275
94.25,94.15494161939935
280.57000732421875,278.59556995249
320.7799987792969,322.17097518535064
337.5,339.0811334794537
106.9499969482422,106.40694996881513
148.47999572753906,149.64299894994065
323.1199951171875,319.0861370723341
338.6300048828125,339.5318951921944
325.3500061035156,327.2417335144184
329.0199890136719,331.2245724831471
295.3699951171875,295.9405723762947
95.0,94.49542619377979
275.2300109863281,273.45877227746473
361.4200134277344,359.92217229031985
145.30999755859375,145.74709595114234
304.3999938964844,306.5892674951695
152.58999633789062,151.94977255805082
105.9800033569336,105.1300681815422
151.60000610351562,151.93800389620873
105.9000015258789,106.36837446890863
94.9499969482422,93.36104606878199
338.42999267578125,338.98673001118385
345.4800109863281,342.5655380332589
322.1300048828125,325.1218710930303
148.91000366210938,148.3782882086099
157.8300018310547,160.2321415394049
101.36000061035156,100.77885847813185
305.7900085449219,303.13682038213
324.1199951171875,321.736296994855
108.37000274658205,107.4211977620414
152.99000549316406,151.73282774749154
319.29998779296875,321.90077281678674
153.8300018310547,155.45388595144766
258.0599975585937,257.54557285592426
323.0299987792969,327.52853090689575
168.41000366210938,167.8240053793142
165.55999755859375,164.63201245681347
285.760009765625,284.90018728525524
106.41999816894533,106.37361376696148
165.7899932861328,166.1273137377253
305.4100036621094,305.60665881878504
145.91000366210938,145.82234941060554
107.70999908447266,108.36331955806176
97.0999984741211,96.33878764326279
307.260009765625,307.60505020629046
166.1699981689453,165.9158653479514
288.3699951171875,288.466500616306
